,t1,t2,t3,t4,t5
s1,23.03,25.33,27.87,30.65,33.72
s2,82.94,91.23,100.36,110.39,121.43
s3,7.61,8.37,9.21,10.13,11.14
s4,76.54,84.19,92.61,101.87,112.06
s5,56.42,62.06,68.27,75.10,82.60
s6,81.39,89.53,98.48,108.33,119.16
s7,26.73,29.40,32.34,35.58,39.14
s8,77.79,85.57,94.13,103.54,113.89
s9,34.57,38.03,41.83,46.01,50.61
s10,38.88,42.77,47.04,51.75,56.92
s11,81.38,89.52,98.47,108.32,119.15
s12,28.92,31.81,34.99,38.49,42.34
s13,55.87,61.46,67.60,74.36,81.80
s14,64.74,71.21,78.34,86.17,94.79
s15,77.87,85.66,94.22,103.64,114.01
s16,14.12,15.53,17.09,18.79,20.67
s17,74.75,82.23,90.45,99.49,109.44
s18,66.64,73.30,80.63,88.70,97.57
s19,6.61,7.27,8.00,8.80,9.68
s20,71.2,78.32,86.15,94.77,104.24
