,t1,t2,t3,t4,t5
s1,41.49,45.64,50.20,55.22,60.75
s2,79.15,87.07,95.77,105.35,115.88
s3,27.81,30.59,33.65,37.02,40.72
s4,96.30,105.93,116.52,128.18,140.99
s5,42.29,46.52,51.17,56.29,61.92
s6,4.64,5.10,5.61,6.18,6.79
s7,96.18,105.80,116.38,128.02,140.82
s8,76.31,83.94,92.34,101.57,111.73
s9,92.77,102.05,112.25,123.48,135.82
s10,52.59,57.85,63.63,70.00,77.00
s11,33.31,36.64,40.31,44.34,48.77
s12,16.99,18.69,20.56,22.61,24.88
s13,33.93,37.32,41.06,45.16,49.68
s14,87.80,96.58,106.24,116.86,128.55
s15,3.71,4.08,4.49,4.94,5.43
s16,7.64,8.40,9.24,10.17,11.19
s17,66.55,73.21,80.53,88.58,97.44
s18,69.76,76.74,84.41,92.85,102.14
s19,60.34,66.37,73.01,80.31,88.34
s20,13.45,14.80,16.27,17.90,19.69
